provinsi,tahun,sum total gk,ump,sum total peng,rr upah
SULAWESI BARAT,2020,2117541,2678863,2882976,18136
SULAWESI BARAT,2021,2247433,2678863,2859366,18072
SULAWESI BARAT,2022,2497519,2678863,3124417,14774
MALUKU,2015,2414865,1650000,2457148,14525
MALUKU,2016,2515601,1775000,2622767,16153
MALUKU,2017,2666626,1925000,2786695,16275
MALUKU,2018,2797516,2222220,2994860,14923
MALUKU,2019,3162708,2400664,3072803,17306
MALUKU,2020,3389752,2604961,3315326,26198
MALUKU,2021,3584509,2604961,3409954,21156
MALUKU,2022,3915164,2619313,3586170,17006
MALUKU UTARA,2015,2140043,1577617,2485764,13607
MALUKU UTARA,2016,2309943,1681266,2602096,15226
MALUKU UTARA,2017,2387244,1975000,3025438,15760
MALUKU UTARA,2018,2537236,2320803,3291631,15864
MALUKU UTARA,2019,2721485,2508091,3346256,17425
MALUKU UTARA,2020,2827362,2721530,3539648,23338
MALUKU UTARA,2021,3017938,2721530,3620903,21131
MALUKU UTARA,2022,3210172,2862231,3567892,18278
PAPUA BARAT,2015,2730067,2015000,3184634,17313
PAPUA BARAT,2016,2911865,2237000,3138619,18314
PAPUA BARAT,2017,3036519,2421500,3479972,19911
PAPUA BARAT,2018,3241726,2667000,3818730,21727
PAPUA BARAT,2019,3507043,2934500,4170667,22987
PAPUA BARAT,2020,3691128,3134600,4250397,27904
PAPUA BARAT,2021,3865494,3134600,4414048,29600
PAPUA BARAT,2022,4139731,3200000,4404010,24128
PAPUA,2015,2474711,2193000,2858292,19290
PAPUA,2016,2651730,2435000,3117226,22961
PAPUA,2017,2816650,2663646,3563105,25657
PAPUA,2018,3109334,3000000,3671789,25987
PAPUA,2019,3347742,3240900,3922058,24984
PAPUA,2020,3482023,3516700,4169427,32138
PAPUA,2021,3626195,3516700,4313999,30382
PAPUA,2022,3953025,3561932,4616653,24097
