gk_norm,ump_norm,peng_norm,rr_upah_norm
"0,167646671","0,2643101793","0,2556425192","0,2356374172"
"0,2035997732","0,3075034554","0,3586275513","0,3307119205"
"0,2483851659","0,3529899616","0,4317762269","0,3399006623"
"0,279359877","0,4049743104","0,4972488948","0,3710264901"
"0,3296848857","0,4698562698","0,5437312691","0,3959023179"
"0,4022864954","0,5340897581","0,5829792459","0,5029801325"
"0,4475208097","0,5272039045","0,6269547708","0,5180049669"
"0,5376916157","0,5392804756","0,6580827582","0,4664735099"
"0,166817085","0,2572447904","0,2822808905","0,2083609272"
"0,2223862207","0,3148703031","0,3503370835","0,2269039735"
"0,2709490884","0,3612145598","0,4411074826","0,2889900662"
"0,3065579882","0,4139151746","0,4891989939","0,2984271523"
"0,3682763863","0,4667336932","0,5059045605","0,330794702"
"0,425372847","0,5272041725","0,5734535342","0,427897351"
"0,465517342","0,3991844268","0,6089378115","0,428352649"
"0,5423500153","0,53498154","0,6259168814","0,4195364238"
"0,3928340571","0,2990808322","0,4315359235","0,3227649007"
"0,4543033461","0,3352899122","0,507739509","0,4134519868"
"0,5182322234","0,3871534095","0,6077389293","0,5521109272"
"0,574392337","0,4376730708","0,69934433","0,5288907285"
"0,6387205474","0,4923989524","0,7473604831","0,5449503311"
"0,7119548477","0,5550536007","0,8484507544","0,6445364238"
"0,7643237766","0,5340894901","0,8195605926","0,6381622517"
"0,8565688393","0,56392801","0,8837959086","0,5693708609"
"0,3961203145","0,2990808322","0,3283759336","0,3345612583"
"0,4622319597","0,3390647115","0,4143853213","0,3734271523"
"0,536614379","0,3882252628","0,5214747463","0,4911837748"
"0,6010951469","0,442113491","0,6164412329","0,4307119205"
"0,6972699503","0,4971960318","0,642146584","0,5014072848"
"0,74530543","0,5602587883","0,7116938703","0,7233857616"
"0,8026746273","0,5550533327","0,7137554207","0,5979718543"
"0,9170694029","0,5645285159","0,7333285554","0,4882036424"
"0,0772019616","0,3322745209","0,1660844403","0,1753311258"
"0,1067313145","0,3992653518","0,2739743497","0,3112996689"
"0,1361962023","0,4523220898","0,391636598","0,3554221854"
"0,1639683731","0,5129584384","0,4284665217","0,3488824503"
"0,2074667991","0,5737298404","0,4167398731","0,4066639073"
"0,2407190795","0,6433057135","0,4642701495","0,5324917219"
"0,2751162704","0,6433057135","0,4620436541","0,5148178808"
"0,3211308739","0,6433057135","0,4823100325","0,4060430464"
"0,1679934987","0,1580983608","0,1647174511","0,1589403974"
"0,2201491971","0,2036521257","0,2351258247","0,1950745033"
"0,2595971199","0,2405707726","0,3022237025","0,2170943709"
"0,2894887603","0,2827634736","0,3062825114","0,2043460265"
"0,3497451736","0,3250502297","0,3389592965","0,2548427152"
"0,3926642895","0,3734634313","0,375333118","0,3979718543"
"0,4307123588","0,3734634313","0,3817069553","0,5013245033"
"0,5041762246","0,3967837434","0,402371995","0,3048427152"
0,"0,2920800224","0,1293006275","0,1670115894"
"0,03038373311","0,3590708533","0,2231941804","0,2608443709"
"0,05812702584","0,4088115451","0,2742486434","0,3028145695"
"0,09610712977","0,4656578205","0,3358951645","0,3001655629"
"0,1392097231","0,5226308425","0,3355431411","0,3551324503"
"0,1751365725","0,5878579387","0,3634183372","0,4406870861"
"0,2147032159","0,60449203","0,3964647995","0,4425496689"
"0,2721462125","0,60449203","0,4246245654","0,3614238411"
"0,01597390596","0,1988287859","0,07957521102","0,2125827815"
"0,04412032381","0,2518855239","0,19227883","0,6175082781"
"0,06601334338","0,2927834261","0,2248475839","0,3343956954"
"0,0947755334","0,3395234647","0,3059191579","0,3070778146"
"0,1420549347","0,386368277","0,3448072066","0,3031456954"
"0,1877857171","0,4399997963","0,3570629442","0,4935430464"
"0,2311027076","0,4399995284","0,393342963","0,4460678808"
"0,2868529871","0,4824936881","0,4228610229","0,3732201987"
"0,02165703678","0,1848946931","0,0723178898","0,06229304636"
"0,05005723093","0,258584607","0,152098887","0,188865894"
"0,07993136955","0,3001189221","0,255646208","0,1762831126"
"0,1118955165","0,3474983212","0,2468184829","0,1393211921"
"0,1509656918","0,3949832978","0,3227730698","0,2055877483"
"0,2013434976","0,5034564589","0,374815359","0,2733029801"
"0,2414311117","0,9395292528","0,4309014382","0,251986755"
"0,2910575063","0,5066060998","0,4309140857","0,2385761589"
"0,0195151064","0,1997666575","0,02133325183","0,233692053"
"0,0517852434","0,2556370105","0,08469957594","0,1326572848"
"0,09073582295","0,2968444103","0,1233610227","0,1745033113"
"0,1142690542","0,3439389644","0,2034937798","0,1497930464"
"0,1353899521","0,3941740486","0,2271299393","0,1904387417"
"0,1681031767","0,473990408","0,2704156459","0,3978062914"
"0,2059922712","0,473990408","0,2641946331","0,3951572848"
"0,2789415836","0,473990408","0,3340330765","0,2586506623"
"0,2548316675","0,1982928593","0,1582139765","0,2483443709"
"0,2842160471","0,2317882747","0,2018530239","0,3157284768"
"0,3282695723","0,2719827732","0,2450465087","0,3207781457"
"0,3664497803","0,3516268321","0,2998960266","0,2648178808"
"0,4729751568","0,3994432794","0,3204332734","0,3634519868"
"0,5392031891","0,4541873825","0,3843358008","0,7314983444"
"0,5960132034","0,4541873825","0,409269388","0,5228062914"
"0,6924642438","0,4580331921","0,4557006452","0,3510347682"
"0,1746669405","0,17889687","0,1657540231","0,2103476821"
"0,2242262448","0,2066710005","0,19640641","0,2773592715"
"0,2467747073","0,2853809393","0,3079530418","0,2994619205"
"0,2905269096","0,3780434604","0,3780923914","0,3037665563"
"0,3442717728","0,4282297753","0,3924855647","0,3683774834"
"0,3751557661","0,4854235991","0,4434425361","0,6131208609"
"0,4307461957","0,4854235991","0,4648524637","0,5217715232"
"0,4868202587","0,5231263067","0,4508845642","0,4036837748"
"0,3467751157","0,2960994723","0,3498996891","0,3637417219"
"0,3998050298","0,3555873301","0,3377751698","0,4051738411"
"0,4361662159","0,4050265632","0,4277184719","0,4712748344"
"0,4960244629","0,4708115591","0,5169780159","0,5464403974"
"0,5734166109","0,5424917481","0,6097101024","0,5985927152"
"0,6271136358","0,5961112091","0,6307182068","0,8021109272"
"0,6779756585","0,5961112091","0,6738387048","0,8723096026"
"0,7579697429","0,6136360104","0,6711937863","0,6458195364"
"0,2722885606","0,3437969438","0,2639116442","0,4455711921"
"0,3239244552","0,4086440681","0,3321383157","0,5975165563"
"0,3720311089","0,4699128101","0,4496232348","0,7091059603"
"0,4574061261","0,5600433457","0,4782604457","0,7227649007"
"0,526949002","0,6245957103","0,5442039712","0,68125"
"0,5661183543","0,6984999949","0,6093833741","0,9773592715"
"0,6081728806","0,6984999949","0,6474767351","0,9046771523"
"0,7035081803","0,7106205119","0,727223215","0,6445364238"
